,count,unique,top,freq,mean,std,min,25%,50%,75%,max
customer_id,50000.0,,,,221301781476.38763,988706.7142228561,221300000098.0,221300922530.25,221301818551.5,221302719846.25,221303307714.0
starting_date,50000,4687,2005-09-11,13447,,,,,,,
suspension_date,4184,300,2022-11-16,34,,,,,,,
observation_end_date,50000,300,2022-12-02,45845,,,,,,,
duration_days,50000.0,,,,3593.9095,2262.827477443564,1.0,1493.0,3614.0,6291.0,6291.0
event,50000.0,,,,0.08368,0.27691007779389987,0.0,0.0,0.0,0.0,1.0
age,46330.0,,,,55.65989598532268,13.823743547596099,23.723,46.557,55.444,62.387,113.054
income,46330.0,,,,80652.55559818691,50300.404272380336,5000.0,47500.0,80372.176,87500.0,250000.0
annual_premium,50000.0,,,,929.96378318294,243.6768581609677,31.686521,763.10636025,924.241777,1089.4956877500001,2197.30487
has_children,46330.0,,,,0.4361752644075113,0.49591502436113105,0.0,0.0,0.0,1.0,1.0
marital_status,50000,3,Married,23084,,,,,,,
home_owner,46330.0,,,,0.6995251456939349,0.4584694680443001,0.0,0.0,1.0,1.0,1.0
college_degree,46330.0,,,,0.30224476581049,0.4592356904912817,0.0,0.0,0.0,1.0,1.0
good_credit,46330.0,,,,0.8207209151737536,0.383589977071181,0.0,1.0,1.0,1.0,1.0
county,50000,15,Dallas,19102,,,,,,,
duration_years,50000.0,,,,9.839587953456538,6.195283990263009,0.0027378507871321,4.087611225188227,9.894592744695414,17.22381930184805,17.22381930184805
